Dimension:    76    61    27
      lon       lat       dep        vp        dvp      dws_p      vs        dvs      dws_s     VpVs     vpvst
   119.000    22.260      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    22.260      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    22.260     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    22.260     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    22.260    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    22.260    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    22.260    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    22.260    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   119.000    22.260    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   119.000    22.260    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   119.000    22.260    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   119.000    22.260    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   119.000    22.260    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   119.000    22.260    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   119.000    22.260    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   119.000    22.260    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
